日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/05/17,"38,916,253","3,990,558,925",102.00,103.00,102.00,102.50,+0.50,"19,396"
112/05/18,"27,750,265","2,859,066,325",103.00,103.50,102.50,103.00,+0.50,"11,029"
112/05/19,"33,713,208","3,461,854,482",103.00,103.00,102.00,103.00, 0.00,"12,566"
112/05/22,"18,170,383","1,866,853,138",102.50,103.00,102.50,103.00, 0.00,"9,157"
112/05/23,"22,258,821","2,285,492,765",103.00,103.00,102.50,102.50,-0.50,"10,188"
112/05/24,"16,034,234","1,647,545,401",102.50,103.00,102.50,103.00,+0.50,"9,002"
112/05/25,"26,400,866","2,710,347,354",102.50,103.50,102.50,102.50,-0.50,"13,709"
112/05/26,"36,602,590","3,748,110,490",102.50,103.00,102.00,102.50, 0.00,"17,727"
112/05/29,"79,007,460","8,268,281,823",103.50,106.00,103.00,105.50,+3.00,"28,339"
112/05/30,"88,779,354","9,504,107,532",106.50,108.00,106.00,107.00,+1.50,"41,319"
112/05/31,"59,443,196","6,330,618,253",107.50,107.50,105.50,106.50,-0.50,"19,843"
112/06/01,"46,558,650","4,996,062,921",106.50,108.00,106.00,108.00,+1.50,"19,267"
112/06/02,"53,924,446","5,829,505,836",108.50,109.00,107.50,108.00, 0.00,"21,889"
112/06/05,"24,624,081","2,653,815,411",108.50,108.50,107.00,107.50,-0.50,"12,713"
112/06/06,"36,383,280","3,882,385,473",107.00,107.50,106.00,107.00,-0.50,"13,826"
112/06/07,"22,459,238","2,417,445,504",107.50,108.00,107.00,108.00,+1.00,"9,840"
112/06/08,"17,392,265","1,866,463,325",108.00,108.00,107.00,107.00,-1.00,"9,944"
112/06/09,"16,744,580","1,803,462,864",107.50,108.00,107.00,108.00,+1.00,"8,347"
112/06/12,"98,652,902","10,866,249,777",108.00,112.00,107.50,110.50,+2.50,"40,913"
112/06/13,"70,173,913","7,888,170,176",111.00,113.00,111.00,112.50,+2.00,"34,877"
112/06/14,"36,488,322","4,102,517,677",112.50,113.00,111.50,112.50, 0.00,"17,554"
112/06/15,"35,696,946","3,986,611,487",112.50,113.00,111.00,111.50,-1.00,"18,814"
112/06/16,"47,565,732","5,306,261,172",111.50,112.50,111.00,111.00,-0.50,"16,319"
112/06/19,"25,243,032","2,832,301,801",111.50,113.00,111.00,112.50,+1.50,"12,614"
112/06/20,"30,784,850","3,463,018,660",113.00,113.50,111.50,112.50, 0.00,"11,952"
112/06/21,"34,892,673","3,931,657,328",112.50,113.00,112.00,113.00,+0.50,"17,874"
112/06/26,"100,474,885","11,551,510,415",113.50,116.00,113.00,115.50,+2.50,"36,472"
112/06/27,"67,357,566","7,750,488,365",116.00,116.50,114.00,114.00,-1.50,"25,369"
112/06/28,"45,726,557","5,262,217,985",114.50,116.00,114.50,115.00,+1.00,"19,399"
112/06/29,"39,965,191","4,562,815,301",116.00,116.00,113.00,113.00,-2.00,"23,356"
112/06/30,"48,499,554","5,448,631,430",113.00,113.00,111.00,113.00, 0.00,"22,524"
112/07/03,"88,011,450","10,089,020,094",114.00,115.00,113.50,115.00,+2.00,"32,871"
112/07/04,"88,850,920","9,848,987,145",112.00,112.50,109.50,110.00,X0.00,"46,037"
112/07/05,"51,570,862","5,599,325,907",110.00,110.50,107.50,108.50,-1.50,"33,413"
112/07/06,"70,071,473","7,440,779,674",107.50,107.50,105.00,105.50,-3.00,"41,285"
112/07/07,"30,868,905","3,247,695,283",105.00,106.00,104.50,105.50, 0.00,"18,448"
112/07/10,"25,044,324","2,631,065,877",105.50,106.00,104.50,104.50,-1.00,"17,505"
112/07/11,"23,862,651","2,503,776,581",105.00,105.50,104.50,105.00,+0.50,"13,567"
112/07/12,"37,780,699","4,033,895,506",105.00,107.50,105.00,107.50,+2.50,"15,229"
112/07/13,"30,341,999","3,278,152,117",108.50,109.00,107.00,107.00,-0.50,"14,701"
112/07/14,"43,454,213","4,702,063,534",107.50,109.50,106.50,109.50,+2.50,"18,981"
112/07/17,"41,502,082","4,572,570,706",110.00,111.00,109.50,110.50,+1.00,"17,109"
112/07/18,"52,688,441","5,894,531,944",110.50,113.50,110.00,112.00,+1.50,"25,727"
112/07/19,"54,967,023","6,055,023,271",113.00,113.50,108.00,108.50,-3.50,"26,548"
112/07/20,"33,167,955","3,600,029,166",109.00,110.00,107.50,108.00,-0.50,"13,586"
112/07/21,"25,278,976","2,715,559,372",107.00,108.50,106.50,107.50,-0.50,"10,913"
112/07/24,"19,896,359","2,146,631,209",108.00,108.50,107.00,108.00,+0.50,"9,411"
112/07/25,"61,862,737","6,856,399,236",108.50,112.00,108.50,112.00,+4.00,"25,155"
112/07/26,"30,223,635","3,373,004,998",112.00,112.50,111.00,111.50,-0.50,"18,007"
112/07/27,"32,278,647","3,590,682,916",112.00,113.00,110.50,110.50,-1.00,"18,735"
112/07/28,"23,255,646","2,555,161,402",110.50,111.00,109.50,109.50,-1.00,"15,209"
112/07/31,"30,730,719","3,355,672,410",110.50,111.00,108.50,108.50,-1.00,"14,355"
112/08/01,"24,113,256","2,653,917,873",109.50,111.00,109.00,110.50,+2.00,"9,945"
112/08/02,"34,095,728","3,706,374,022",110.00,110.50,108.00,108.00,-2.50,"20,180"
112/08/04,"40,122,815","4,419,908,982",109.00,111.00,109.00,111.00,+3.00,"16,129"
112/08/07,"45,621,252","5,055,979,980",112.00,112.50,109.50,109.50,-1.50,"20,471"
112/08/08,"29,311,389","3,236,790,526",110.50,111.00,109.50,110.50,+1.00,"10,143"
112/08/09,"20,468,574","2,265,522,164",110.50,111.50,110.00,110.50, 0.00,"9,312"
112/08/10,"22,401,300","2,462,848,227",111.00,111.00,109.50,110.00,-0.50,"9,959"
112/08/11,"22,854,757","2,490,127,311",110.00,110.50,108.50,108.50,-1.50,"14,053"
112/08/14,"30,169,722","3,309,279,031",109.50,110.50,109.00,110.00,+1.50,"13,517"
112/08/15,"64,762,274","6,974,932,952",108.00,109.00,107.00,107.00,-3.00,"36,735"
112/08/16,"44,390,097","4,696,567,368",106.50,106.50,105.00,105.50,-1.50,"27,924"
112/08/17,"24,753,076","2,631,718,597",105.50,107.00,105.50,106.50,+1.00,"10,441"
112/08/18,"17,412,067","1,848,910,219",106.50,107.00,105.50,106.00,-0.50,"11,848"
112/08/21,"10,884,357","1,154,268,088",106.50,107.00,105.50,106.00, 0.00,"7,109"
112/08/22,"13,225,842","1,408,358,404",106.50,107.00,106.00,106.50,+0.50,"6,142"
112/08/23,"16,581,083","1,768,910,267",106.50,107.50,106.00,106.50, 0.00,"6,682"
112/08/24,"51,036,295","5,583,078,102",109.00,110.50,108.50,109.50,+3.00,"21,344"
112/08/25,"21,353,911","2,312,509,951",108.50,109.00,108.00,108.00,-1.50,"9,503"
112/08/28,"16,852,420","1,827,707,759",108.50,109.00,108.00,108.00, 0.00,"8,352"
112/08/29,"64,563,484","6,850,480,774",108.00,108.50,105.00,106.00,-2.00,"29,666"
112/08/30,"20,861,174","2,217,019,155",106.50,107.00,106.00,106.00, 0.00,"10,060"
112/08/31,"57,884,785","6,155,654,231",106.00,107.00,105.50,106.50,+0.50,"10,679"
112/09/01,"14,106,975","1,510,351,150",106.50,107.50,106.50,107.50,+1.00,"6,817"
112/09/04,"21,399,910","2,279,496,433",107.50,108.00,105.50,106.50,-1.00,"10,338"
112/09/05,"13,947,190","1,486,693,623",106.50,107.00,106.00,107.00,+0.50,"5,467"
112/09/06,"17,723,586","1,882,250,089",106.50,107.00,106.00,106.00,-1.00,"10,036"
112/09/07,"14,703,513","1,553,316,168",106.00,106.00,105.50,105.50,-0.50,"9,238"
112/09/08,"12,232,593","1,290,143,049",105.50,106.00,105.00,106.00,+0.50,"8,184"
112/09/11,"17,970,490","1,892,009,180",106.00,106.00,105.00,105.00,-1.00,"11,073"
112/09/12,"29,936,070","3,197,367,679",106.00,107.50,105.50,107.50,+2.50,"10,719"
112/09/13,"18,447,173","1,957,599,943",107.00,107.50,105.50,106.00,-1.50,"8,124"
112/09/14,"15,925,971","1,696,098,318",106.50,107.00,106.00,106.50,+0.50,"7,901"
112/09/15,"35,796,358","3,800,337,901",106.50,107.00,106.00,106.00,-0.50,"11,524"
112/09/18,"19,458,299","2,065,336,849",106.00,106.50,105.50,106.50,+0.50,"8,648"
112/09/19,"13,864,956","1,482,205,613",106.50,107.50,106.50,106.50, 0.00,"7,128"
112/09/20,"19,168,653","2,037,961,517",106.50,107.00,106.00,106.00,-0.50,"10,432"
112/09/21,"22,481,559","2,367,772,067",106.00,106.50,105.00,105.00,-1.00,"14,523"
112/09/22,"15,164,145","1,593,608,220",105.00,105.50,105.00,105.00, 0.00,"8,678"
112/09/25,"16,714,643","1,759,692,944",105.50,106.00,105.00,105.50,+0.50,"9,163"
112/09/26,"30,615,520","3,199,617,720",105.00,105.50,104.00,104.00,-1.50,"20,954"
112/09/27,"16,571,407","1,721,873,446",104.00,104.50,103.50,104.00, 0.00,"12,931"
112/09/28,"24,489,178","2,538,919,585",104.50,104.50,103.00,104.00, 0.00,"15,612"
