日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,"47,341,828","4,674,470,643",99.90,99.90,98.00,99.10,-0.80,"37,746"
112/01/04,"42,812,802","4,206,947,798",98.00,98.70,98.00,98.10,-1.00,"34,793"
112/01/05,"37,046,103","3,637,807,642",98.10,98.90,98.00,98.00,-0.10,"26,593"
112/01/06,"20,649,438","2,035,341,101",98.30,98.80,98.30,98.40,+0.40,"16,660"
112/01/09,"34,166,209","3,390,702,893",99.20,99.60,98.90,99.10,+0.70,"19,622"
112/01/10,"21,706,054","2,157,139,787",99.40,99.80,99.10,99.40,+0.30,"10,304"
112/01/11,"22,096,447","2,195,950,633",99.80,99.80,99.10,99.10,-0.30,"10,725"
112/01/12,"22,014,869","2,179,239,269",99.10,99.50,98.60,98.60,-0.50,"15,225"
112/01/13,"18,652,790","1,845,839,426",99.00,99.50,98.60,98.60, 0.00,"11,985"
112/01/16,"32,736,172","3,226,475,964",98.60,99.20,98.10,98.10,-0.50,"24,717"
112/01/17,"28,810,658","2,829,914,291",98.20,98.50,98.10,98.10, 0.00,"18,708"
112/01/30,"88,808,349","8,751,639,423",99.60,99.70,98.00,98.10, 0.00,"47,704"
112/01/31,"82,451,939","8,235,695,667",98.30,101.00,98.20,99.70,+1.60,"31,359"
112/02/01,"40,082,663","4,014,650,015",100.50,101.00,99.80,100.00,+0.30,"16,606"
112/02/02,"51,715,604","5,183,855,801",100.50,101.00,100.00,100.00, 0.00,"24,174"
112/02/03,"43,915,390","4,379,946,034",100.00,100.50,99.50,99.60,-0.40,"24,321"
112/02/06,"50,479,656","5,122,110,765",100.50,102.00,100.50,101.50,+1.90,"23,715"
112/02/07,"31,412,710","3,171,480,698",102.00,102.00,100.50,100.50,-1.00,"16,026"
112/02/08,"25,572,350","2,572,849,160",100.50,101.00,100.50,100.50, 0.00,"12,039"
112/02/09,"29,347,314","2,961,597,502",100.50,101.50,100.00,101.00,+0.50,"11,842"
112/02/10,"25,620,289","2,599,062,864",101.50,102.00,100.50,101.50,+0.50,"12,161"
112/02/13,"18,497,222","1,875,032,750",101.50,102.00,101.00,101.00,-0.50,"8,575"
112/02/14,"18,440,692","1,877,679,340",101.50,102.00,101.50,102.00,+1.00,"10,403"
112/02/15,"38,436,177","3,925,070,338",102.00,102.50,101.50,102.50,+0.50,"17,123"
112/02/16,"39,872,101","4,115,677,752",103.00,103.50,102.50,103.50,+1.00,"18,244"
112/02/17,"28,987,254","2,989,845,607",103.00,103.50,102.50,103.50, 0.00,"13,156"
112/02/20,"22,229,942","2,291,386,991",103.50,104.00,102.50,103.00,-0.50,"13,457"
112/02/21,"13,906,642","1,427,077,845",102.50,103.00,102.50,102.50,-0.50,"8,104"
112/02/22,"26,465,654","2,693,882,799",102.00,102.50,101.50,102.00,-0.50,"12,340"
112/02/23,"20,893,415","2,146,712,771",102.00,103.00,102.00,103.00,+1.00,"9,364"
112/02/24,"54,293,618","5,520,468,409",103.00,103.50,101.00,101.00,-2.00,"24,077"
112/03/01,"48,149,835","4,893,501,805",100.00,103.00,100.00,102.00,+1.00,"14,119"
112/03/02,"27,936,296","2,858,642,381",102.50,103.00,101.50,102.50,+0.50,"9,933"
112/03/03,"29,276,021","3,019,226,308",103.50,104.00,102.50,102.50, 0.00,"12,785"
112/03/06,"38,599,819","3,995,898,779",103.00,104.00,102.50,103.50,+1.00,"18,452"
112/03/07,"72,773,055","7,636,342,931",103.50,106.00,103.50,105.00,+1.50,"32,304"
112/03/08,"31,871,831","3,327,789,129",104.50,105.00,104.00,104.00,-1.00,"15,640"
112/03/09,"62,246,571","6,408,341,852",104.00,104.50,102.00,102.50,-1.50,"26,740"
112/03/10,"28,023,340","2,855,815,664",102.00,102.50,101.50,102.00,-0.50,"14,965"
112/03/13,"23,735,276","2,433,153,486",102.00,103.50,101.50,103.00,+1.00,"10,260"
112/03/14,"32,014,406","3,267,067,677",102.00,102.50,101.50,102.00,-1.00,"12,409"
112/03/15,"21,152,568","2,169,924,790",102.50,103.00,102.00,102.50,+0.50,"11,367"
112/03/16,"27,823,368","2,851,039,319",102.50,103.00,102.00,102.00,-0.50,"12,437"
112/03/17,"62,542,797","6,479,829,076",103.00,104.50,102.50,103.50,+1.50,"19,122"
112/03/20,"21,491,112","2,210,421,080",103.50,104.00,102.50,102.50,-1.00,"10,314"
112/03/21,"21,169,729","2,193,540,108",103.00,104.00,103.00,103.50,+1.00,"10,812"
112/03/22,"22,619,832","2,345,556,939",103.50,104.50,103.00,103.50, 0.00,"9,328"
112/03/23,"32,467,261","3,366,040,153",103.00,104.50,103.00,103.50, 0.00,"10,373"
112/03/24,"70,639,353","7,416,784,272",104.50,106.00,104.00,105.50,+2.00,"25,165"
112/03/27,"33,360,546","3,472,600,020",105.00,105.50,103.50,103.50,-2.00,"15,606"
112/03/28,"24,536,833","2,536,665,378",104.00,104.00,103.00,103.00,-0.50,"11,298"
112/03/29,"21,518,974","2,227,326,554",103.00,104.00,103.00,103.50,+0.50,"8,803"
112/03/30,"23,644,023","2,461,031,108",104.00,104.50,103.50,104.50,+1.00,"7,085"
112/03/31,"18,383,489","1,916,810,351",104.50,105.00,104.00,104.00,-0.50,"7,879"
112/04/06,"39,285,783","4,091,954,496",104.50,105.50,103.00,103.50,-0.50,"16,621"
112/04/07,"11,913,773","1,231,720,055",104.00,104.00,103.00,103.00,-0.50,"7,332"
112/04/10,"12,576,290","1,298,176,099",103.00,104.00,103.00,103.00, 0.00,"8,531"
112/04/11,"29,392,861","3,036,301,674",103.50,104.00,103.00,103.50,+0.50,"12,528"
112/04/12,"20,658,342","2,125,490,764",103.50,103.50,102.50,102.50,-1.00,"14,522"
112/04/13,"23,559,745","2,424,959,743",102.50,103.50,102.50,103.00,+0.50,"11,631"
112/04/14,"25,764,557","2,679,788,131",104.00,104.50,103.00,104.50,+1.50,"12,224"
112/04/17,"15,419,355","1,604,349,556",104.50,104.50,103.50,104.00,-0.50,"8,478"
112/04/18,"16,151,848","1,682,286,478",104.00,104.50,103.50,104.50,+0.50,"7,834"
112/04/19,"18,893,968","1,965,342,220",104.50,104.50,103.50,104.00,-0.50,"10,653"
112/04/20,"19,945,258","2,079,062,205",103.50,104.50,103.50,104.50,+0.50,"8,798"
112/04/21,"33,085,440","3,461,031,076",105.00,105.50,104.00,104.00,-0.50,"12,670"
112/04/24,"18,482,135","1,918,190,124",104.00,104.50,103.50,103.50,-0.50,"8,082"
112/04/25,"29,981,837","3,096,473,866",103.50,104.00,103.00,103.00,-0.50,"12,350"
112/04/26,"34,093,936","3,537,109,209",103.00,104.50,103.00,103.50,+0.50,"12,389"
112/04/27,"16,743,295","1,732,575,022",103.50,104.00,103.00,103.50, 0.00,"7,135"
112/04/28,"19,643,921","2,046,209,314",104.00,104.50,103.50,104.50,+1.00,"6,696"
112/05/02,"50,296,436","5,301,337,184",104.50,106.00,104.00,106.00,+1.50,"22,045"
112/05/03,"27,017,028","2,851,879,362",105.50,106.00,105.00,105.50,-0.50,"10,815"
112/05/04,"12,816,496","1,348,173,051",105.50,105.50,105.00,105.00,-0.50,"8,061"
112/05/05,"12,635,718","1,326,313,874",105.00,105.50,104.50,105.00, 0.00,"6,031"
112/05/08,"10,633,215","1,118,390,878",105.50,106.00,105.00,105.00, 0.00,"6,543"
112/05/09,"40,822,363","4,326,837,704",105.00,107.00,104.50,106.50,+1.50,"17,889"
112/05/10,"17,540,555","1,865,834,176",106.50,107.00,106.00,106.50, 0.00,"8,986"
112/05/11,"21,870,548","2,310,508,079",106.50,107.00,105.00,105.00,-1.50,"9,864"
112/05/12,"72,076,682","7,398,358,087",103.50,104.00,102.00,102.50,-2.50,"35,447"
112/05/15,"28,337,659","2,894,073,030",102.50,103.00,102.00,102.00,-0.50,"18,204"
112/05/16,"42,174,115","4,319,139,417",102.50,103.00,102.00,102.00, 0.00,"20,186"
